delta time = 1

movement,center coordinates,frequency,phase,radius
circular,origin,0.02196917939573282,0.8239886802987834,88.27795526778289
circular,previous,0,2.9976355777085533,52.327990760655894
circular,previous,0.04393835879146564,-1.3685169519343803,28.81650194972669
circular,previous,0.06590753818719847,-1.3945780415393347,27.673394336673475
circular,previous,6.2392469483881206,1.8252634103235963,17.463378114775903
circular,previous,6.217277768992388,1.854669993834172,16.273056884125552
circular,previous,6.261216127783854,1.9803159728828927,14.234126386822842
circular,previous,0.08787671758293128,-0.6179689971142914,11.54978347599247
circular,previous,0.15378425577012975,-1.1660112435917211,11.104761552911762
circular,previous,6.1074318720137235,1.2105791377278696,10.367333510773168
circular,previous,6.195308589596655,1.3641693352366053,9.499433581452084
circular,previous,6.063493513222259,1.814832814476765,7.69333091460585
circular,previous,0.10984589697866409,-1.8986348077742485,7.40082925039872
circular,previous,6.1733394102009225,1.9719584433951833,7.340866366912642
circular,previous,6.129401051409457,1.820750625205229,7.057574176523305
circular,previous,0.21969179395732819,-0.7816878912584313,6.985004788726355
circular,previous,0.28559933214452665,-1.7519224070828865,6.961346962919578
circular,previous,0.13181507637439693,-1.5393688391844071,5.454716270345292
circular,previous,6.019555154430793,0.8319294988476507,5.348923086915673
circular,previous,5.975616795639327,1.6022471602792119,5.29161153739453
circular,previous,0.26363015274879387,-1.1667637522151337,5.178737316636246
circular,previous,0.3075685115402595,-1.5104642663503793,4.669517537008872
circular,previous,0.19772261456159537,-2.1279016458798754,4.314412863952594
circular,previous,5.5362332077246705,1.0395520217454668,4.197920668356505
circular,previous,0.615137023080519,-1.483969160857986,4.125484568814058
circular,previous,0.24166097335306103,-1.1271720473752307,4.0468736607135165
circular,previous,5.865770898660663,0.834665561212659,3.7368325333118264
circular,previous,5.733955822286266,1.435095477274847,3.6932989128350306
circular,previous,6.151370230805189,1.1606597217555206,3.6243980098261264
circular,previous,5.953647616243594,1.6640964640853337,3.5601343110759216
circular,previous,0.7249829200591831,-0.29885631135629387,3.4742924920315894
circular,previous,0.37347604972745796,-0.531908440116126,3.452764170235616
circular,previous,6.041524333826525,-3.1204263066335356,3.2985496561291527
circular,previous,0.8128596376421143,-0.613552579405853,3.2453310299068074
circular,previous,0.5931678436847861,-1.7825071462787718,3.224006228060559
circular,previous,0.4613527673103892,-0.5372517798320402,3.056626672254757
circular,previous,5.821832539869197,1.7153094738947319,3.053267710778027
circular,previous,5.887740078056396,1.2479059439392663,3.0502264743939627
circular,previous,5.580171566516136,2.687141117103374,3.0086775169124893
circular,previous,0.48332194670612205,-0.0621285043836693,2.9520162779729255
circular,previous,5.250633875580144,1.2819497366971402,2.887478803071905
circular,previous,0.43938358791465637,-1.6627977830577618,2.739870929445738
circular,previous,0.39544522912319074,-1.8903768750194712,2.7350127737170236
circular,previous,5.514264028328938,1.7636249484431972,2.6644291413921133
circular,previous,0.5272603054975877,-0.773635186295483,2.542736208613276
circular,previous,0.3515068703317251,-2.2379596220748583,2.542542147272148
circular,previous,0.7469520994549159,-1.1637068254053122,2.520241276739637
circular,previous,0.7689212788506486,-2.2485780217148075,2.512465063800965
circular,previous,5.99758597503506,2.3983469750888298,2.458826292460636
circular,previous,6.085462692617991,2.319865510370137,2.4340673450950168
circular,previous,0.85679799643358,-0.46136965221587106,2.395200646637666
circular,previous,5.909709257452128,1.217858713045606,2.3451081957974305
