666,440
670,490
674,540
677,590
680,640
682,690
685,740
700,740
750,740
800,740
850,740
900,740
900,790
900,840
900,880
850,880
800,880
750,880
700,880
650,880
600,880
550,880
500,880
450,879
400,878
350,874
300,870
250,864
200,858
150,846
134,840
100,820
70,790
44,740
28,690
10,640
0,610
32,610
50,640
86,690
100,704
150,730
200,740
250,740
276,740
275,690
272,640
266,590
260,540
250,490
240,440
224,390
206,340
178,290
146,240
110,190
78,140
72,90
94,40
100,30
150,0
200,0
250,36
280,90
296,140
304,190
310,240
315,290
320,340
326,390
330,440
336,490
341,540
347,590
352,640
356,690
360,740
400,740
450,740
500,740
550,740
566,740
560,690
556,640
552,590
548,540
544,490
539,440
534,390
530,340
527,290
525,240
524,190
525,140
536,90
548,70
582,40
600,30
650,10
700,4
750,12
800,34
808,40
853,90
876,140
892,190
903,240
905,264
870,264
868,240
850,194
844,190
800,158
750,152
700,172
684,190
668,240
662,290
662,340
663,390
